,plant_name,Aedes impiger,Aedes nigripes,Aedes sp1 M_PL_014,Allopiophila arctica,Amauronematus amentorum,Amauronematus sp1 M_PL_014,Anarta richardsoni,Apis mellifera,Boloria sp1 M_PL_014,Bombus hyperboreus,Bombus polaris,Boreellus atriceps,Bradysia sp1 M_PL_014,Brevicoryne arctica,Carposcalis carinata,Chironomus sp1 M_PL_014,Chironomus sp2 M_PL_014,Colias hecla,Collembola sp5 M_PL_014,Corynoneura scutellata,Cricotopus lestralis,Cricotopus sp1 M_PL_014,Crymodes exulis,Cryptus arcticus,Diptera sp1 M_PL_014,Diptera sp6 M_PL_014,Dolichopus dasyops,Einfieldia sp1 M_PL_014,Eupogonomyia groenlandica,Fucellia pictipennis,Gynometriocnemus sp1 M_PL_014,Helophilus borealis,Heterotrissocladius subpilosus,Hymenoptera sp2 M_PL_014,Hymenoptera sp3 M_PL_014,Hymenoptera sp4 M_PL_014,Hyposoter luctus,Isotoma viridis,Lasiestra leucocycla,Limnophyes globifer,Limnophyes sp1 M_PL_014,Limnophyes sp2 M_PL_014,Metriocnemus obscuripes,Olethreutes inquietana,Olethreutes mengelana,Orthocladiinae sp1 M_PL_014,Orthocladius consobrinus,Orthocladus sp1 M_PL_014,Paraphaenocladius despectus,Pegomyia sp1 M_PL_014,Peleteriopsis aenea,Petinarctia stylata,Phaladrodira nigropilosa,Plebeius aquilo,Pogonomyoides segnis,Procladius sp1 M_PL_014,Prosmittia nanseni,Protophormia terraenovae,Psectrocladius barbatimanus,Pseudodiamesa arctica,Ramphomyia filicauda,Ramphomyia lamelliseta,Ramphomyia nigrita,Ramphomyia sp1 M_PL_014,Rhyncaenus sp1 M_PL_014,Scatophaga nigripalpis,Smittia extrema,Smittia polaris,Smittia polymorpha,Smittia sp1 M_PL_014,Spilogona almquisti,Spilogona deflorata,Spilogona dorsata,Spilogona latilamina,Spilogona melanosoma,Spilogona sanctipauli,Spilogona sp1 M_PL_014,Spilogona tundrae,Sympistris labradoris,Tanytarsus niger,Tipula arctica,is_exotic
12,lesquerella arctica,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
13,lychnis triflora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
14,papaver sp1 m_pl_014,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,False
15,pedicularis capitata,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
16,pedicularis sp1 m_pl_014,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
17,polygonum viviparum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
18,potentilla sp1 m_pl_014,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False
19,salix sp1 m_pl_014,1,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,False
20,saxifraga cernua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
21,saxifraga flagellaris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,False
22,saxifraga hirculus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,False
23,saxifraga oppositifolia,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,False
24,saxifraga sp1 m_pl_014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
25,saxifraga tricuspidata,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
26,silene sp1 m_pl_014,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
27,stellaria sp1 m_pl_014,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
28,taraxacum sp1 m_pl_014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
